00090bdd,0,2,['0.04', '0.0', '0.96', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01']
006774e8,1,7,['0.0', '0.02', '0.0', '0.0', '0.0', '0.0', '0.0', '0.98', '0.0', '0.0']
0070fcc4,9,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.93', '0.0', '0.0', '0.0', '0.07']
00a57e5c,8,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
00aba723,6,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.52', '0.48', '0.0', '0.0', '0.0']
00bbd930,6,1,['0.0', '0.63', '0.0', '0.0', '0.0', '0.0', '0.37', '0.0', '0.0', '0.0']
00c29ce6,6,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.13', '0.0', '0.86', '0.0']
00c4ba2f,1,8,['0.2', '0.15', '0.04', '0.0', '0.0', '0.0', '0.0', '0.0', '0.61', '0.0']
00e42712,3,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
01023e31,9,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.04', '0.0', '0.0', '0.96', '0.0']
014508e0,9,0,['0.72', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.14', '0.0', '0.13']
018c23ef,8,4,['0.0', '0.0', '0.0', '0.0', '0.96', '0.0', '0.0', '0.0', '0.0', '0.03']
01a9c665,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0']
01b13586,0,9,['0.05', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.06', '0.88']
01eba903,0,7,['0.0', '0.0', '0.02', '0.0', '0.0', '0.0', '0.0', '0.97', '0.0', '0.0']
01f4ab37,5,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
01fe77e3,5,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.05', '0.0', '0.0', '0.0', '0.95']
02317710,7,4,['0.0', '0.0', '0.0', '0.0', '0.78', '0.0', '0.0', '0.22', '0.0', '0.0']
0241b97d,4,9,['0.0', '0.0', '0.0', '0.0', '0.27', '0.0', '0.0', '0.0', '0.0', '0.73']
0284b41d,8,3,['0.0', '0.01', '0.0', '0.6', '0.0', '0.0', '0.0', '0.0', '0.38', '0.0']
